time, state, current
00:09.986, 1, 20
00:10.011, 1, 40
00:10.037, 1, 20
00:10.062, 1, 0
00:10.088, 1, 10
00:10.113, 1, 10
00:10.140, 1, 10
00:10.166, 1, 10
00:10.191, 1, 10
00:10.217, 1, 30
00:10.242, 1, 0
00:10.268, 1, 160
00:10.293, 1, 170
00:10.319, 1, 170
00:10.344, 0, 170
00:10.367, 0, 0
00:10.391, 0, 0
00:10.414, 0, 0
00:10.437, 0, 0
00:10.461, 0, 0
00:10.485, 0, 0
00:10.508, 0, 0
00:10.531, 0, 0
00:10.555, 0, 0
00:10.578, 0, 0
00:10.601, 0, 0
00:10.625, 0, 0
00:10.648, 0, 0
00:10.672, 0, 0
00:10.695, 0, 0
00:10.719, 0, 0
00:10.742, 0, 0
00:10.766, 0, 0
00:10.789, 0, 0
00:10.812, 0, 0
00:10.836, 0, 0
00:10.859, 0, 0
00:10.882, 0, 0
00:10.906, 0, 0
00:10.929, 0, 0
00:10.953, 0, 0
00:10.976, 0, 0
00:11.000, 0, 0
00:11.023, 0, 0
00:11.047, 0, 0
00:11.070, 0, 0
00:11.093, 0, 0
00:11.117, 0, 0
00:11.140, 0, 0
00:11.163, 0, 0
00:11.187, 0, 0
00:11.210, 0, 0
00:11.233, 0, 0
00:11.257, 0, 0
00:11.280, 0, 0
00:11.303, 0, 0
00:11.326, 0, 0
00:11.350, 0, 0
00:11.373, 0, 0
00:11.397, 0, 0
00:11.420, 0, 0
00:11.443, 0, 0
00:11.467, 0, 0
00:11.490, 0, 0
00:11.513, 0, 0
00:11.537, 0, 0
00:11.561, 0, 0
00:11.584, 0, 0
00:11.608, 0, 0
00:11.631, 0, 0
00:11.654, 0, 0
00:11.678, 0, 0
00:11.701, 0, 0
00:11.724, 0, 0
00:11.748, 0, 0
00:11.771, 0, 0
00:11.794, 0, 0
00:11.818, 0, 0
00:11.841, 0, 0
00:11.864, 0, 0
00:11.888, 0, 0
00:11.911, 0, 0
00:11.935, 0, 0
00:11.958, 0, 0
00:11.981, 0, 0
00:12.005, 0, 0
00:12.028, 0, 0
00:12.051, 0, 0
00:12.075, 0, 0
00:12.098, 0, 0
00:12.121, 0, 0
00:12.153, 0, 0
00:12.176, 1, 30
00:12.202, 1, 20
00:12.227, 1, 10
00:12.253, 1, 0
00:12.278, 1, 60
00:12.304, 1, 10
00:12.329, 1, 20
00:12.355, 1, 20
00:12.380, 1, 10
00:12.405, 1, 0
00:12.431, 1, 10
00:12.456, 1, 10
00:12.482, 1, 10
00:12.508, 1, 20
00:12.533, 1, 0
00:12.558, 1, 10
00:12.584, 1, 0
00:12.609, 1, 10
00:12.635, 1, 0
00:12.660, 1, 20
00:12.686, 1, 10
00:12.711, 1, 10
00:12.737, 1, 20
00:12.762, 1, 20
00:12.788, 1, 10
00:12.813, 1, 20
00:12.839, 1, 10
00:12.864, 1, 0
00:12.890, 1, 20
00:12.916, 1, 0
00:12.941, 1, 10
00:12.967, 1, 0
00:12.992, 1, 10
00:13.018, 1, 10
00:13.043, 1, 10
00:13.069, 1, 0
00:13.094, 1, 20
00:13.120, 1, 20
00:13.146, 1, 40
00:13.172, 1, 40
00:13.198, 1, 60
00:13.223, 1, 60
00:13.249, 1, 60
00:13.275, 1, 80
00:13.300, 1, 90
00:13.326, 1, 80
00:13.351, 1, 90
00:13.377, 1, 100
00:13.402, 2, 20
00:13.427, 2, 40
00:13.451, 2, 50
00:13.476, 2, 50
00:13.500, 2, 50
00:13.524, 2, 40
00:13.549, 2, 50
00:13.574, 2, 50
00:13.598, 2, 40
00:13.622, 2, 50
00:13.647, 2, 50
00:13.671, 2, 50
00:13.696, 2, 50
00:13.720, 2, 40
00:13.744, 2, 40
00:13.769, 2, 40
00:13.793, 2, 40
00:13.818, 2, 40
00:13.843, 2, 50
00:13.867, 2, 40
00:13.892, 2, 50
00:13.916, 2, 40
00:13.941, 2, 50
00:13.965, 2, 40
00:13.990, 2, 40
00:14.014, 2, 40
00:14.039, 2, 50
00:14.063, 2, 50
00:14.087, 2, 40
00:14.112, 2, 40
00:14.136, 2, 50
00:14.161, 2, 50
00:14.186, 2, 40
00:14.210, 2, 40
00:14.234, 2, 40
00:14.259, 2, 50
00:14.283, 2, 40
00:14.307, 2, 50
00:14.332, 2, 40
00:14.356, 2, 50
00:14.381, 2, 50
00:14.405, 2, 50
00:14.430, 2, 50
00:14.454, 2, 50
00:14.478, 2, 40
00:14.503, 2, 40
00:14.527, 2, 40
00:14.552, 2, 40
00:14.576, 2, 40
00:14.601, 2, 50
00:14.625, 2, 50
00:14.649, 2, 40
00:14.674, 2, 40
00:14.698, 2, 50
00:14.723, 2, 40
00:14.747, 2, 40
00:14.772, 2, 40
00:14.796, 2, 40
00:14.820, 2, 50
00:14.845, 2, 50
00:14.869, 2, 40
00:14.894, 2, 50
00:14.918, 2, 50
00:14.942, 2, 50
00:14.967, 2, 40
00:14.991, 2, 40
00:15.016, 2, 40
00:15.040, 2, 40
00:15.064, 2, 40
00:15.089, 2, 50
00:15.113, 2, 40
00:15.138, 2, 40
00:15.168, 2, 50
00:15.194, 1, 30
00:15.219, 1, 50
00:15.245, 1, 40
00:15.270, 1, 40
00:15.296, 1, 50
00:15.321, 1, 20
00:15.347, 1, 40
00:15.372, 1, 30
00:15.398, 1, 50
00:15.424, 1, 50
00:15.449, 1, 50
00:15.475, 1, 40
00:15.501, 1, 0
00:15.527, 1, 20
00:15.552, 1, 10
00:15.578, 1, 30
00:15.603, 1, 20
00:15.629, 1, 20
00:15.654, 1, 10
00:15.680, 1, 30
00:15.706, 1, 40
00:15.731, 1, 30
00:15.757, 1, 20
00:15.783, 1, 30
00:15.809, 1, 30
00:15.834, 1, 30
00:15.860, 1, 20
00:15.885, 1, 40
00:15.911, 1, 40
00:15.936, 1, 30
00:15.961, 1, 10
00:15.987, 1, 30
00:16.013, 1, 20
00:16.038, 1, 10
00:16.064, 1, 30
00:16.089, 1, 40
00:16.115, 1, 20
00:16.140, 1, 20
00:16.166, 1, 0
00:16.192, 1, 10
00:16.217, 1, 20
00:16.243, 1, 20
00:16.268, 1, 20
00:16.294, 1, 0
00:16.319, 1, 0
00:16.345, 1, 170
00:16.371, 1, 170
00:16.396, 1, 170
00:16.422, 0, 0
00:16.445, 0, 0
00:16.469, 0, 0
00:16.492, 0, 0
00:16.516, 0, 0
00:16.539, 0, 0
00:16.563, 0, 0
00:16.586, 0, 0
00:16.610, 0, 0
00:16.633, 0, 0
00:16.656, 0, 0
00:16.680, 0, 0
00:16.703, 0, 0
00:16.726, 0, 0
00:16.750, 0, 0
00:16.773, 0, 0
00:16.797, 0, 0
00:16.820, 0, 0
00:16.844, 0, 0
00:16.867, 0, 0
00:16.890, 0, 0
00:16.914, 0, 0
00:16.937, 0, 0
00:16.960, 0, 0
00:16.984, 0, 0
00:17.007, 0, 0
00:17.031, 0, 0
00:17.055, 0, 0
00:17.078, 0, 0
00:17.101, 0, 0
00:17.125, 0, 0
00:17.148, 0, 0
00:17.172, 0, 0
00:17.196, 0, 0
00:17.219, 0, 0
00:17.242, 0, 0
00:17.266, 0, 0
00:17.289, 0, 0
00:17.312, 0, 0
00:17.336, 0, 0
00:17.359, 0, 0
00:17.382, 0, 0
00:17.406, 0, 0
00:17.429, 0, 0
00:17.452, 0, 0
00:17.476, 0, 0
00:17.499, 0, 0
00:17.523, 0, 0
00:17.546, 0, 0
00:17.569, 0, 0
00:17.593, 0, 0
00:17.616, 0, 0
00:17.639, 0, 0
00:17.663, 0, 0
00:17.686, 0, 0
00:17.710, 0, 0
00:17.733, 0, 0
00:17.757, 0, 0
00:17.780, 0, 0
00:17.803, 0, 0
00:17.827, 0, 0
00:17.850, 0, 0
00:17.873, 0, 0
00:17.897, 0, 0
00:17.920, 0, 0
00:17.944, 0, 0
00:17.967, 0, 0
00:17.990, 0, 0
00:18.014, 0, 0
00:18.037, 0, 0
00:18.060, 0, 0
00:18.084, 0, 0
00:18.107, 0, 0
00:18.130, 0, 0
00:18.154, 0, 0
00:18.177, 0, 0
00:18.206, 0, 0
00:18.231, 1, 40
00:18.257, 1, 30
00:18.282, 1, 0
00:18.308, 1, 30
00:18.333, 1, 0
00:18.359, 1, 10
00:18.384, 1, 20
00:18.410, 1, 10
00:18.435, 1, 0
00:18.461, 1, 20
00:18.486, 1, 20
00:18.512, 1, 10
00:18.537, 1, 20
00:18.563, 1, 10
00:18.588, 1, 10
00:18.614, 1, 10
00:18.639, 1, 20
00:18.665, 1, 10
00:18.690, 1, 10
00:18.716, 1, 10
00:18.741, 1, 10
